slug,name,source,notes
adamantine-armor,Adamantine Armor,DMG2024,
adamantine-weapon,Adamantine Weapon,DMG2024,
adventurer-s-ring,Adventurer's Ring,FRHOF,
alchemy-jug,Alchemy Jug,DMG2024,
ammunition-1-2-or-3,"Ammunition, +1, +2, or +3",DMG2024,
ammunition-of-slaying,Ammunition of Slaying,DMG2024,
amulet-of-health,Amulet of Health,DMG2024,
amulet-of-proof-against-detection-and-location,Amulet of Proof against Detection and Location,DMG2024,
amulet-of-the-planes,Amulet of the Planes,DMG2024,
animated-shield,Animated Shield,DMG2024,
apparatus-of-kwalish,Apparatus of Kwalish,DMG2024,
arcane-battery,Arcane Battery,NF,
armor-1-2-or-3,"Armor, +1, +2, or +3",DMG2024,
armor-of-gleaming,Armor of Gleaming,DMG2024,
armor-of-invulnerability,Armor of Invulnerability,DMG2024,
armor-of-resistance,Armor of Resistance,DMG2024,
armor-of-vulnerability,Armor of Vulnerability,DMG2024,
arrow-catching-shield,Arrow-Catching Shield,DMG2024,
axe-of-the-dwarvish-lords,Axe of the Dwarvish Lords,DMG2024,
baba-yaga-s-dancing-broom,Baba Yaga's Dancing Broom,DMG2024,
bag-of-beans,Bag of Beans,DMG2024,
bag-of-devouring,Bag of Devouring,DMG2024,
bag-of-holding,Bag of Holding,DMG2024,
bag-of-tricks,Bag of Tricks,DMG2024,
bead-of-force,Bead of Force,DMG2024,
bead-of-nourishment,Bead of Nourishment,DMG2024,
bead-of-refreshment,Bead of Refreshment,DMG2024,
belt-of-dwarvenkind,Belt of Dwarvenkind,DMG2024,
belt-of-giant-strength,Belt of Giant Strength,DMG2024,
berserker-axe,Berserker Axe,DMG2024,
blackrazor,Blackrazor,DMG2024,
book-of-exalted-deeds,Book of Exalted Deeds,DMG2024,
book-of-vile-darkness,Book of Vile Darkness,DMG2024,
boots-of-elvenkind,Boots of Elvenkind,DMG2024,
boots-of-false-tracks,Boots of False Tracks,DMG2024,
boots-of-levitation,Boots of Levitation,DMG2024,
boots-of-speed,Boots of Speed,DMG2024,
boots-of-striding-and-springing,Boots of Striding and Springing,DMG2024,
boots-of-the-winding-path,Boots of the Winding Path,EFOTA,
boots-of-the-winterlands,Boots of the Winterlands,DMG2024,
bowl-of-commanding-water-elementals,Bowl of Commanding Water Elementals,DMG2024,
bracers-of-archery,Bracers of Archery,DMG2024,
bracers-of-defense,Bracers of Defense,DMG2024,
brazier-of-commanding-fire-elementals,Brazier of Commanding Fire Elementals,DMG2024,
brooch-of-shielding,Brooch of Shielding,DMG2024,
brooch-of-the-elements,Brooch of the Elements,NF,
broom-of-flying,Broom of Flying,DMG2024,
calimemnon-crystal,Calimemnon Crystal,FRHOF,
candle-of-invocation,Candle of Invocation,DMG2024,
candle-of-the-deep,Candle of the Deep,DMG2024,
cap-of-vanishing,Cap of Vanishing,WTTHC,
cap-of-water-breathing,Cap of Water Breathing,DMG2024,
cape-of-the-mountebank,Cape of the Mountebank,DMG2024,
carpet-of-flying,Carpet of Flying,DMG2024,
cast-off-armor,Cast-Off Armor,DMG2024,
cauldron-of-rebirth,Cauldron of Rebirth,DMG2024,
censer-of-controlling-air-elementals,Censer of Controlling Air Elementals,DMG2024,
charlatan-s-die,Charlatan's Die,DMG2024,
chime-of-opening,Chime of Opening,DMG2024,
circlet-of-blasting,Circlet of Blasting,DMG2024,
cloak-of-arachnida,Cloak of Arachnida,DMG2024,
cloak-of-billowing,Cloak of Billowing,DMG2024,
cloak-of-displacement,Cloak of Displacement,DMG2024,
cloak-of-elvenkind,Cloak of Elvenkind,DMG2024,
cloak-of-invisibility,Cloak of Invisibility,DMG2024,
cloak-of-many-fashions,Cloak of Many Fashions,DMG2024,
cloak-of-protection,Cloak of Protection,DMG2024,
cloak-of-the-bat,Cloak of the Bat,DMG2024,
